If you make no additional charges using this,You will pay off the New Balance shown on,And you will end up paying an estimated,4296,03/19,03/19.1,2444500F02X7S1W3D,FRYS 5051866-576-4377 AZ,Unnamed: 0,150.46,Annual,Unnamed: 1,Days in,Unnamed: 2,Unnamed: 3
card and each month you pay ...,this statement in about ...,total of ...,,,,,,,,,,,,
Only the minimum payment,25 years,"$29,920",,,,,,,,,,,,
,,"$14,088",,,,,,,,,,,,
$391,3 years,,,,,,,,,,,,,
,,"(Savings of $15,832)",,,,,,,,,,,,
,,,4296,03/19,03/19,2469216EZ2Z3LFQFK,AMZN Mktp US*RH3828JY2 Amzn.com/bill WA,,68.92,,,,,
,,,4296,03/20,03/20,2444500F08PT4097P,FRYS-FOOD-DRG #051 CHANDLER  AZ,,35.86,,,,,
,,,4296,03/22,03/22,2469216F231EXKHLX,AMZN Mktp US*RH12I4DC2 Amzn.com/bill WA,,36.80,,,,,
,,,4296,03/22,03/22,2469216F332QT5ZVT,IN-N-OUT CHANDLER 2 CHANDLER  AZ,,16.27,,,,,
,,,4296,03/23,03/23,2411641F4M4EA36W3,DAVE & BUSTERS #52 TEMPE  AZ,,24.06,,,,,
,,,4296,03/23,03/23,2411641F4RBGHPWW0,TOTAL WINE AND MORE TEMPE  AZ,,33.07,,,,,
,,,4296,03/23,03/23,2413746F401BJL7D9,WHOLEFDS CHR 10272 CHANDLER  AZ,,24.33,,,,,
,,,4296,03/23,03/23,2426979F400XP6HVY,SPINATOS PIZZA - SFR 01 TEMPE  AZ,,124.22,,,,,
,,,4296,03/24,03/24,2413746F50116YWGS,TJ MAXX #049 CHANDLER  AZ,,59.36,,,,,
,,,4296,03/24,03/24,2461043F503PX5819,ROSS STORES #1137 GILBERT  AZ,,94.82,,,,,
,,,4296,03/24,03/24,2494300F52MDNLDVX,ZINBURGER GILBERT GILBERT  AZ,,38.98,,,,,
,,,4296,03/25,03/25,2442733F6LM8LQZ3D,SPROUTS FARMERS MAR CHANDLER  AZ,,24.80,,,,,
,,,4296,03/25,03/25,2443106F52DKZBR6W,AMAZON.COM*RA54396U0 SEATTLE  WA,,65.91,,,,,
,,,4296,03/26,03/26,2444500F68PRZGKJ7,FRYS FUEL #7658 GILBERT  AZ,,27.99,,,,,
,,,4296,03/26,03/26,2444500F72X7R9YQB,FRYS 5051866-576-4377 AZ,,135.76,,,,,
,,,4296,03/28,03/28,2404083F8S66F928X,BLUE WASABI SUSHI & MARTI GILBERT  AZ,,48.77,,,,,
